,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
197,2009,6108.84,6108.84,6108.84,2009-07-06,957050883,GOVPLACE
198,2009,267141.88,267141.88,267141.88,2009-07-28,141087416,"TRUESTONE, LLC"
199,2009,25577.04,25577.04,25577.04,2009-09-01,619719693,WILDFLOWER INTERNATIONAL LIMITED
200,2009,236926.03,236926.03,772605.3,2009-06-05,075132543,INVERTIX CORPORATION
201,2009,62824.74,62824.74,62824.74,2009-08-10,098692374,IMMIXTECHNOLOGY INC
202,2009,3841.08,3841.08,3841.08,2009-05-07,621796044,COMPUTER WORLD SERVICES CORPORATION
203,2009,4528.8,4528.8,4528.8,2009-02-09,621796044,COMPUTER WORLD SERVICES CORPORATION
204,2009,7212.25,7212.25,7212.25,2009-09-03,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
205,2009,6722.0,6722.0,6722.0,2009-08-11,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
206,2009,7074.56,7074.56,7074.56,2009-09-28,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
207,2009,295016.34,295016.34,295016.34,2009-07-02,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
208,2009,480641.17,480641.17,480641.17,2009-06-23,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
209,2009,485000.0,485000.0,485000.0,2009-08-31,145685819,EVOLUTIONS TECHNOLOGIES INCORPORATED
210,2009,7500.0,7500.0,7500.0,2009-02-03,786573241,"C & V TECHNOLOGIES OF LOUISIANA, LLC"
211,2009,16028.96,16028.96,16028.96,2009-08-24,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
212,2009,225725.27,225725.27,225725.27,2009-09-30,957050883,GOVPLACE
213,2009,2999.43,2999.43,2999.43,2009-03-18,957050883,GOVPLACE
214,2009,157482.0,157482.0,157482.0,2009-04-03,614767403,MULTIMAXARRAY FIRSTSOURCE
215,2009,899990.32,899990.32,899990.32,2008-12-31,603180985,BART AND ASSOCIATES INCORPORATED
216,2009,107297.6,107297.6,107297.6,2009-06-11,619719693,WILDFLOWER INTERNATIONAL LIMITED
217,2009,74823.22,74823.22,74823.22,2009-05-20,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
218,2009,90260.62,90260.62,95000.0,2009-08-25,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
219,2009,2566.92,2566.92,2566.92,2009-01-23,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
220,2009,27153.83,27153.83,0.0,2009-07-10,117342618,COMMUNICATIONS PRODUCTS INC
221,2009,18246.57,18246.57,18246.57,2008-11-19,048474621,"AMERICAN WORDATA, INCORPORATED"
222,2009,4249.83,4249.83,4249.83,2008-11-25,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
223,2009,6003.02,6003.02,6003.02,2009-05-05,968904698,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
224,2009,9945.0,9945.0,9945.0,2008-11-26,169047151,EARTHSTAR GEOGRAPHICS LLC
225,2009,703786.65,703786.65,703786.65,2009-02-03,191341627,CENTECH GROUP INC
226,2009,11273.55,11273.55,11273.55,2009-05-21,961003720,NCS TECHNOLOGIES INCORPORATED
227,2009,176792.63,176792.63,176792.63,2009-08-24,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
228,2009,8949.36,8949.36,8949.36,2009-02-26,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
229,2009,5762.52,5762.52,5762.52,2009-08-11,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
230,2009,426582.8,426582.8,426582.8,2009-06-25,613194799,"QINETIQ NORTH AMERICA, INC."
231,2009,54999.7,54999.7,54999.7,2009-08-07,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
232,2009,1590806.71,1590806.71,1590806.71,2009-09-10,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
233,2009,54843.54,54843.36,54843.54,2009-08-05,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
234,2009,19266.9,19266.9,19266.9,2009-08-07,957050883,GOVPLACE
235,2009,557215.29,21866.32,557215.29,2009-05-01,138434712,"HELITUNE, INC."
236,2009,547714.0,547714.0,547714.0,2009-06-22,008445397,"INTACT TECHNOLOGY, INC."
237,2009,18284.0,18284.0,18284.0,2009-07-07,103097556,IMTECH CORPORATION
238,2009,7900.32,7900.32,7900.32,2009-09-10,621796044,COMPUTER WORLD SERVICES CORPORATION
239,2009,14593.9,14593.9,14593.9,2009-08-25,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
240,2009,13143.96,13143.96,13143.96,2009-03-17,942408766,M A FEDERAL INCORPORATED (2233)
241,2009,10961.07,10961.07,10961.07,2009-04-01,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
242,2009,9430.8,9430.8,9430.8,2009-09-10,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
243,2009,144691.15,144691.15,144691.15,2009-07-31,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
244,2009,36604.73,36604.73,36604.73,2009-03-24,013358002,MYTHICS INCORPORATED
245,2009,56954.4,56954.4,56954.4,2009-06-18,118900500,BLACKBAG TECHNOLOGIES INCORPORATED
